date,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2023-08-16 04:00:00+00:00,43.427097,23.58347,31.950914,0,0,48555.39,40699.82,0.13779527,0.003937008,0.93700784,7.0,5.4152036,19.6856,77.1958
2023-08-17 04:00:00+00:00,46.067223,24.233437,33.710285,0,0,48435.188,40196.613,0.062992126,0.003937008,0.4133858,5.0,5.0469017,14.5405,342.8596
2023-08-18 04:00:00+00:00,48.55029,26.786049,35.53786,0,0,48314.227,40005.89,0.05905512,0.003937008,0.38582677,4.0,6.1710396,23.0411,313.09088
2023-08-19 04:00:00+00:00,51.095142,25.934265,36.93346,0,0,48192.598,43200.0,0.039370082,0.003937008,0.2480315,4.0,6.0770693,22.1463,283.2127
2023-08-20 04:00:00+00:00,49.798668,26.826605,37.183582,0,0,48070.402,43521.24,0.027559057,0.015748031,0.08267716,4.0,5.751309,19.238201,327.45825
2023-08-21 04:00:00+00:00,49.893658,24.749908,37.899395,0,0,47947.727,43968.246,0.027559057,0.01968504,0.05511811,4.0,5.1450996,15.2116,305.16647
2023-08-22 04:00:00+00:00,52.725483,22.960133,37.532803,0,0,47824.676,39610.54,0.03543307,0.03543307,0.0,6.0,6.1710396,23.2648,304.28687
2023-08-23 04:00:00+00:00,48.793045,27.54319,34.64032,0,0,47701.324,39573.93,0.07874016,0.015748031,0.44094485,9.0,5.9438567,20.3567,355.52518
2023-08-24 04:00:00+00:00,39.84652,22.410883,29.324265,0,0,47577.77,25500.568,0.37795272,0.003937004,2.61811,20.0,4.5295796,13.6456995,17.311747
2023-08-25 04:00:00+00:00,40.062107,22.618525,29.17359,0,0,47454.094,35824.355,0.24803151,0.007874018,1.6811023,13.0,4.457191,15.4353,11.3098955
2023-08-26 04:00:00+00:00,39.972397,13.836788,28.082972,0,0,47330.105,41203.344,0.22047244,0.0,1.5433071,11.0,4.2737823,13.422,265.12616
2023-08-27 04:00:00+00:00,38.77378,13.104246,26.145739,0,0,47204.965,42872.133,0.18503934,0.0,1.2952754,10.0,5.3172884,17.6723,271.23633
